운동 이름,유/무산소,운동 부위,도구,단체유무,장소,나이,비만도,성별,상장,운동순서,순위
목 스트레칭,유산소,목,없음,개인,실내,40대,3단계비만,M,참가증,준비운동,4
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,40대,3단계비만,M,참가증,준비운동,5
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,40대,3단계비만,M,참가증,본운동,1
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,40대,3단계비만,M,참가증,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,40대,3단계비만,M,참가증,본운동,3
점프 팔굽혀펴기,무산소,"상체,어깨",없음,개인,실내,40대,3단계비만,M,참가증,본운동,4
뛰어 내렸다가 바로 점프하기,무산소,"하체,허벅지",의자,개인,실내,40대,3단계비만,M,참가증,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,40대,3단계비만,M,참가증,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,3단계비만,M,참가증,마무리운동,2
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,3단계비만,M,참가증,마무리운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,3단계비만,M,참가증,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,40대,3단계비만,M,참가증,마무리운동,5
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,정상,F,1등급,준비운동,2
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,정상,F,1등급,준비운동,3
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,정상,F,1등급,준비운동,4
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,정상,F,1등급,준비운동,5
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,정상,F,1등급,본운동,1
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,40대,정상,F,1등급,본운동,2
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,정상,F,1등급,본운동,3
서서 균형잡기,유산소,하체,없음,개인,실내,40대,정상,F,1등급,본운동,4
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,정상,F,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,정상,F,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,정상,F,1등급,마무리운동,2
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,정상,F,1등급,마무리운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,정상,F,1등급,마무리운동,4
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,40대,정상,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,정상,M,1등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,40대,정상,M,1등급,준비운동,2
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,40대,정상,M,1등급,준비운동,3
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,40대,정상,M,1등급,준비운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,정상,M,1등급,준비운동,5
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,40대,정상,M,1등급,본운동,1
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,40대,정상,M,1등급,본운동,2
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,정상,M,1등급,본운동,3
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,정상,M,1등급,본운동,4
아쿠아로빅-엉덩관절 회전하기,유산소,"하체,고관절",물,단체,수영장,40대,정상,M,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,정상,M,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,정상,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,정상,M,1등급,마무리운동,3
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,40대,정상,M,1등급,마무리운동,4
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,정상,M,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,저체중,F,1등급,준비운동,1
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,저체중,F,1등급,준비운동,2
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,저체중,F,1등급,준비운동,3
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,저체중,F,1등급,준비운동,4
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,저체중,F,1등급,준비운동,5
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,저체중,F,1등급,본운동,1
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,저체중,F,1등급,본운동,2
서서 균형잡기,유산소,하체,없음,개인,실내,40대,저체중,F,1등급,본운동,3
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,저체중,F,1등급,본운동,4
아쿠아로빅-엉덩관절 회전하기,유산소,"하체,고관절",물,단체,수영장,40대,저체중,F,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,저체중,F,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,저체중,F,1등급,마무리운동,2
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,저체중,F,1등급,마무리운동,3
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,40대,저체중,F,1등급,마무리운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,저체중,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,저체중,M,1등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,40대,저체중,M,1등급,준비운동,2
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,저체중,M,1등급,준비운동,3
가슴/어깨 앞쪽 스트레칭,무산소,"가슴,어깨,상체",없음,개인,실내,40대,저체중,M,1등급,준비운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,저체중,M,1등급,준비운동,5
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,40대,저체중,M,1등급,본운동,1
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,저체중,M,1등급,본운동,2
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,저체중,M,1등급,본운동,3
아쿠아로빅-엉덩관절 회전하기,유산소,"하체,고관절",물,단체,수영장,40대,저체중,M,1등급,본운동,4
아쿠아로빅,유산소,"전신,하체,허벅지",물,단체,수영장,40대,저체중,M,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,저체중,M,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,저체중,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,저체중,M,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,저체중,M,1등급,마무리운동,4
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,40대,저체중,M,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,비만전단계비만,F,1등급,준비운동,1
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,비만전단계비만,F,1등급,준비운동,2
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,비만전단계비만,F,1등급,준비운동,3
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,비만전단계비만,F,1등급,준비운동,4
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,비만전단계비만,F,1등급,준비운동,5
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,40대,비만전단계비만,F,1등급,본운동,1
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,비만전단계비만,F,1등급,본운동,2
아쿠아로빅-엉덩관절 회전하기,유산소,"하체,고관절",물,단체,수영장,40대,비만전단계비만,F,1등급,본운동,3
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,비만전단계비만,F,1등급,본운동,4
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,비만전단계비만,F,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,비만전단계비만,F,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,비만전단계비만,F,1등급,마무리운동,2
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,비만전단계비만,F,1등급,마무리운동,3
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,40대,비만전단계비만,F,1등급,마무리운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,비만전단계비만,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,비만전단계비만,M,1등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,40대,비만전단계비만,M,1등급,준비운동,2
허리 스트레칭,유산소,허리,없음,개인,실내,40대,비만전단계비만,M,1등급,준비운동,3
목 스트레칭,유산소,목,없음,개인,실내,40대,비만전단계비만,M,1등급,준비운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,비만전단계비만,M,1등급,준비운동,5
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,40대,비만전단계비만,M,1등급,본운동,1
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,40대,비만전단계비만,M,1등급,본운동,2
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,비만전단계비만,M,1등급,본운동,3
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,비만전단계비만,M,1등급,본운동,4
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,비만전단계비만,M,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,비만전단계비만,M,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,비만전단계비만,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,비만전단계비만,M,1등급,마무리운동,3
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,40대,비만전단계비만,M,1등급,마무리운동,4
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,40대,비만전단계비만,M,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,1단계비만,F,1등급,준비운동,1
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,1단계비만,F,1등급,준비운동,2
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,1단계비만,F,1등급,준비운동,3
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,1단계비만,F,1등급,준비운동,4
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,1단계비만,F,1등급,준비운동,5
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,1단계비만,F,1등급,본운동,1
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,40대,1단계비만,F,1등급,본운동,2
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,1단계비만,F,1등급,본운동,3
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,1단계비만,F,1등급,본운동,4
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,1단계비만,F,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,1단계비만,F,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,1단계비만,F,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,1단계비만,F,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,1단계비만,F,1등급,마무리운동,4
목 스트레칭,유산소,목,없음,개인,실내,40대,1단계비만,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,1단계비만,M,1등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,40대,1단계비만,M,1등급,준비운동,2
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,40대,1단계비만,M,1등급,준비운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,1단계비만,M,1등급,준비운동,4
아래 팔 스트레칭,유산소,팔,없음,개인,실내,40대,1단계비만,M,1등급,준비운동,5
뒤로 팔굽혀펴기,무산소,"팔,상체,복부",없음,개인,실내,40대,1단계비만,M,1등급,본운동,1
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,40대,1단계비만,M,1등급,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,40대,1단계비만,M,1등급,본운동,3
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,40대,1단계비만,M,1등급,본운동,4
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,1단계비만,M,1등급,본운동,5
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,1단계비만,M,1등급,마무리운동,1
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,1단계비만,M,1등급,마무리운동,2
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,1단계비만,M,1등급,마무리운동,3
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,40대,1단계비만,M,1등급,마무리운동,4
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,1단계비만,M,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,2단계비만,F,1등급,준비운동,1
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,2단계비만,F,1등급,준비운동,2
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,2단계비만,F,1등급,준비운동,3
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,2단계비만,F,1등급,준비운동,4
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,2단계비만,F,1등급,준비운동,5
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,2단계비만,F,1등급,본운동,1
서서 균형잡기,유산소,하체,없음,개인,실내,40대,2단계비만,F,1등급,본운동,2
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,2단계비만,F,1등급,본운동,3
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,2단계비만,F,1등급,본운동,4
아쿠아로빅,유산소,"전신,하체,허벅지",물,단체,수영장,40대,2단계비만,F,1등급,본운동,5
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,2단계비만,F,1등급,마무리운동,1
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,2단계비만,F,1등급,마무리운동,2
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,2단계비만,F,1등급,마무리운동,3
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,2단계비만,F,1등급,마무리운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,2단계비만,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,2단계비만,M,1등급,준비운동,1
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,2단계비만,M,1등급,준비운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,40대,2단계비만,M,1등급,준비운동,3
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,2단계비만,M,1등급,준비운동,4
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,2단계비만,M,1등급,준비운동,5
서서 균형잡기,유산소,하체,없음,개인,실내,40대,2단계비만,M,1등급,본운동,1
아쿠아로빅,유산소,"전신,하체,허벅지",물,단체,수영장,40대,2단계비만,M,1등급,본운동,2
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,2단계비만,M,1등급,본운동,3
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,2단계비만,M,1등급,본운동,4
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,2단계비만,M,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,2단계비만,M,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,2단계비만,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,2단계비만,M,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,2단계비만,M,1등급,마무리운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,2단계비만,M,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,3단계비만,F,1등급,준비운동,1
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,3단계비만,F,1등급,준비운동,2
팔꿈치 맞닿아 원그리기,유산소,"상체,어깨",의자,개인,실내,40대,3단계비만,F,1등급,준비운동,3
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,3단계비만,F,1등급,준비운동,4
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,3단계비만,F,1등급,준비운동,5
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,3단계비만,F,1등급,본운동,1
아쿠아로빅-엉덩관절 회전하기,유산소,"하체,고관절",물,단체,수영장,40대,3단계비만,F,1등급,본운동,2
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,3단계비만,F,1등급,본운동,3
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,3단계비만,F,1등급,본운동,4
아쿠아로빅,유산소,"전신,하체,허벅지",물,단체,수영장,40대,3단계비만,F,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,3단계비만,F,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,3단계비만,F,1등급,마무리운동,2
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,40대,3단계비만,F,1등급,마무리운동,3
옆구리 스트레칭,유산소,옆구리,없음,개인,실내,40대,3단계비만,F,1등급,마무리운동,4
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,3단계비만,F,1등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,3단계비만,M,1등급,준비운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,40대,3단계비만,M,1등급,준비운동,2
양팔 벌려 전신 비틀기,유산소,"상체,옆구리",없음,개인,실내,40대,3단계비만,M,1등급,준비운동,4
깍지 끼고 상체 숙이기,유산소,"상체,등,목",없음,개인,실내,40대,3단계비만,M,1등급,준비운동,5
서서 균형잡기,유산소,하체,없음,개인,실내,40대,3단계비만,M,1등급,본운동,1
누워서 하늘 자전거,유산소,"허벅지,허리,복부",없음,개인,실내,40대,3단계비만,M,1등급,본운동,2
물병 옆으로 들어올리기,무산소,"팔,상체,어깨",없음,개인,실내,40대,3단계비만,M,1등급,본운동,3
아쿠아로빅,유산소,"전신,하체,허벅지",물,단체,수영장,40대,3단계비만,M,1등급,본운동,4
누워서 다리 좌우로 움직이기,무산소,"허리,등,복부,옆구리",없음,개인,실내,40대,3단계비만,M,1등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,3단계비만,M,1등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,3단계비만,M,1등급,마무리운동,2
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,3단계비만,M,1등급,마무리운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,40대,3단계비만,M,1등급,마무리운동,4
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,40대,3단계비만,M,1등급,마무리운동,5
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,40대,1단계비만,F,3등급,마무리운동,4
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,40대,정상,F,2등급,준비운동,1
어깨 스트레칭,유산소,어깨,없음,개인,실내,40대,정상,F,2등급,준비운동,2
막대 잡고 대각선으로 팔 들어올리기,유산소,"어깨,팔",막대,개인,실내,40대,정상,F,2등급,준비운동,3
밴드 머리 뒤로 들어올리기,무산소,"상체,팔,어깨",밴드,개인,실내,40대,정상,F,2등급,준비운동,4
누워서 막대 잡고 팔 회전하기,유산소,"상체,팔,어깨",막대,개인,실내,40대,정상,F,2등급,준비운동,5
버피 테스트,유산소,"전신,팔,허벅지",없음,개인,실내,40대,정상,F,2등급,본운동,1
계단 한발 뛰기,유산소,"하체,허벅지",계단,개인,실내,40대,정상,F,2등급,본운동,2
계단 두 칸씩 뛰기,유산소,"하체,허벅지,종아리,전신",계단,개인,실내,40대,정상,F,2등급,본운동,3
사다리 안팎 뛰기,유산소,"하체,허벅지",사다리,개인,실내,40대,정상,F,2등급,본운동,4
뛰어 내렸다가 바로 점프하기,무산소,"하체,허벅지",의자,개인,실내,40대,정상,F,2등급,본운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,40대,정상,F,2등급,마무리운동,1
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,40대,정상,F,2등급,마무리운동,2
짝 스트레칭  루틴프로그램,유산소,"전신,어깨,허벅지,옆구리",없음,단체,실내,40대,정상,F,2등급,마무리운동,3
양발 벌려 무릎 밀어내기,유산소,"상체,어깨,가슴",없음,개인,실내,40대,정상,F,2등급,마무리운동,4
엎드려 상체 들어올리기,유산소,"상체,허리,등",없음,개인,실내,40대,정상,F,2등급,마무리운동,5
볼 잡고 점프하기,유산소,"하체,허벅지",볼,개인,실내,40대,비만전단계비만,F,2등급,준비운동,2
다리굽혀 허리 비틀기,유산소,"허리,고관절",없음,개인,실내,40대,비만전단계비만,F,2등급,준비운동,3
전후 교차 뛰기,유산소,"전신,허벅지",줄넘기,개인,실내,40대,비만전단계비만,F,2등급,준비운동,4
크런치 사이클,무산소,"복부,옆구리,허벅지",없음,개인,실내,40대,비만전단계비만,F,2등급,준비운동,5
계단 한발 뛰기,유산소,"하체,허벅지",계단,개인,실내,40대,비만전단계비만,F,2등급,본운동,1
계단 두 칸씩 뛰기,유산소,"하체,허벅지,종아리,전신",계단,개인,실내,40대,비만전단계비만,F,2등급,본운동,2
뛰어 내렸다가 바로 점프하기,무산소,"하체,허벅지",의자,개인,실내,40대,비만전단계비만,F,2등급,본운동,3
계단 두발 뛰기,유산소,"하체,허벅지",계단,개인,실내,40대,비만전단계비만,F,2등급,본운동,4
사다리 안팎 뛰기,유산소,"하체,허벅지",사다리,개인,실내,40대,비만전단계비만,F,2등급,본운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,40대,비만전단계비만,F,2등급,마무리운동,1
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,40대,비만전단계비만,F,2등급,마무리운동,2
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,비만전단계비만,M,2등급,마무리운동,2
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,40대,비만전단계비만,M,2등급,마무리운동,3
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,40대,비만전단계비만,M,2등급,마무리운동,4
다리굽혀 허리 비틀기,유산소,"허리,고관절",없음,개인,실내,40대,비만전단계비만,M,2등급,마무리운동,5
고혈압환자_심폐지구력운동,무산소,"전신,하체",없음,개인,실내,40대,2단계비만,F,2등급,마무리운동,4
몸통 비틀기,유산소,"전신,복부,허리",없음,개인,실내,40대,2단계비만,F,2등급,마무리운동,5
목 돌리기,유산소,목,없음,개인,실내,40대,2단계비만,M,2등급,준비운동,2
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,40대,2단계비만,M,2등급,준비운동,3
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,40대,2단계비만,M,2등급,준비운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,40대,2단계비만,M,2등급,준비운동,5
버피 테스트,유산소,"전신,팔,허벅지",없음,개인,실내,40대,2단계비만,M,2등급,본운동,1
뛰어 내렸다가 바로 점프하기,무산소,"하체,허벅지",의자,개인,실내,40대,2단계비만,M,2등급,본운동,2
사다리 안팎 뛰기,유산소,"하체,허벅지",사다리,개인,실내,40대,2단계비만,M,2등급,본운동,3
계단 두발 뛰기,유산소,"하체,허벅지",계단,개인,실내,40대,2단계비만,M,2등급,본운동,4
계단 두 칸씩 뛰기,유산소,"하체,허벅지,종아리,전신",계단,개인,실내,40대,2단계비만,M,2등급,본운동,5
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,40대,2단계비만,M,2등급,마무리운동,1
누워서 전신 뻗기,유산소,"복부,전신",없음,개인,실내,40대,2단계비만,M,2등급,마무리운동,2
엎드려 뒤로 다리 올리기,유산소,"등,엉덩이,허벅지",없음,개인,실내,40대,2단계비만,M,2등급,마무리운동,3
의자 앞에서 앉았다 일어서기,무산소,"허벅지,하체,허리",의자,개인,실내,40대,2단계비만,M,2등급,마무리운동,4
의자에 앉아 다리 뻗어 올리기,유산소,"하체,종아리,허벅지",의자,개인,실내,40대,2단계비만,M,2등급,마무리운동,5
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,40대,저체중,M,3등급,본운동,2
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,40대,저체중,M,3등급,본운동,3
